site,site_type,zone,survey_date,transect,quadrat,purple_urchins_raw_diff,purple_quadrants_sampled_raw_diff,purple_conceiled_raw_diff,purple_disease_raw_diff,red_urchins_raw_diff,red_quadrants_sampled_raw_diff,red_conceiled_raw_diff,red_disease_raw_diff,lamr_raw_diff,macr_raw_diff,macj_raw_diff,nerj_raw_diff,ptej_raw_diff,lsetj_raw_diff,eisj_raw_diff,tegula_raw_diff,tegula_quadrants_sampled_raw_diff,pomaulax_raw_diff,pomaulax_quadrants_sampled_raw_diff,relief_raw_diff,risk_raw_diff,drift_superlayer_raw_diff,upc1_raw_diff,upc2_raw_diff,upc3_raw_diff,upc4_raw_diff,upc5_raw_diff,upc6_raw_diff,upc7_raw_diff,upc8_raw_diff,substrate_raw_diff
REC_01,BAR,Shallow,2024-08-19,3,13,NA,NA,NA,NA,10  ≠  16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_01,BAR,Shallow,2024-08-19,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bare rock  ≠  Colonial tunicate,Colonial tunicate  ≠  Bare rock,NA
REC_01,BAR,Shallow,2024-08-19,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Articulated coralline,Stephanocystis  ≠  Encrusting red,Articulated coralline  ≠  Stephanocystis,NA
REC_01,BAR,Shallow,2024-08-19,1,28,9  ≠  14,NA,NA,NA,1  ≠  4,NA,0  ≠  4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1  ≠  0,NA,13  ≠  7,24  ≠  7,NA,NA,Articulated coralline  ≠  Crustose coralline,NA,NA,NA,NA,Crustose coralline  ≠  Encrusting red,Crustose coralline  ≠  Bare rock,NA
REC_01,BAR,Deep,2024-08-19,4,22,10  ≠  18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_02,INCIP,Shallow,2024-08-07,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleshy red  ≠  Crustose coralline,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Crustose coralline,NA
REC_02,INCIP,Shallow,2024-08-07,1,28,0  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_02,INCIP,Shallow,2024-08-07,2,13,4  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_02,INCIP,Shallow,2024-08-07,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Stephanocystis,Stephanocystis  ≠  Bare sand,NA,NA,NA
REC_02,INCIP,Deep,2024-08-07,1,24,NA,NA,0  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_02,BAR,Shallow,2024-08-05,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Fleshy red,Articulated coralline  ≠  Crustose coralline,Dodecaceria spp.  ≠  Crustose coralline,Hydroids  ≠  Articulated coralline,NA
REC_02,BAR,Shallow,2024-08-05,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleshy red  ≠  Articulated coralline,Crustose coralline  ≠  Articulated coralline,Crustose coralline  ≠  Dodecaceria spp.,Articulated coralline  ≠  Hydroids,NA
