site,site_type,zone,date,transect,depth,depth_units,species,size,count_diff
REC_01,BAR,Deep,2024-08-19,1,51,Feet,Purple,7,4 ≠ 3
REC_01,BAR,Deep,2024-08-19,3,NA,Feet,Red,9,2 ≠ 3
REC_01,BAR,Shallow,2024-08-19,1,41,Feet,Purple,6,4 ≠ 2
REC_01,BAR,Shallow,2024-08-19,1,41,Feet,Red,3,1 ≠ 2
REC_01,BAR,Shallow,2024-08-19,3,42,Feet,Red,9,3 ≠ 4
REC_01,BAR,Shallow,2024-08-19,4,45,Feet,Purple,5,9 ≠ 8
REC_01,INCIP,Shallow,2024-08-26,2,37,Feet,Purple,6,5 ≠ 4
REC_01,INCIP,Shallow,2024-09-09,2,29,Feet,Purple,4,2 ≠ 1
REC_01,INCIP,Shallow,2024-09-09,4,35,Feet,Purple,4,5 ≠ 4
REC_02,BAR,Deep,2024-08-07,1,50,Feet,Red,8,2 ≠ 3
REC_02,BAR,Deep,2024-08-07,2,51,Feet,Red,3,1 ≠ 2
REC_02,BAR,Deep,2024-08-07,3,66,Feet,Purple,5,7 ≠ 2
REC_02,BAR,Deep,2024-08-07,4,60,Feet,Purple,5,2 ≠ 7
REC_02,FOR,Shallow,2024-08-05,4,29,Feet,Purple,5,1 ≠ 2
REC_02,INCIP,Deep,2024-08-07,3,39,Feet,Purple,7,4 ≠ 3
REC_02,INCIP,Shallow,2024-08-07,4,26,Feet,Purple,4,5 ≠ 6
REC_02,INCIP,Shallow,2024-08-07,4,26,Feet,Purple,5,4 ≠ 3
REC_03,FOR,Deep,2024-07-02,1,27,Feet,Red,6,5 ≠ 4
REC_03,INCIP,Deep,2024-07-02,1,27,Feet,Purple,4,4 ≠ 5
REC_03,INCIP,Deep,2024-07-02,4,40,Feet,Purple,2,4 ≠ 9
REC_03,INCIP,Deep,2024-07-02,4,40,Feet,Red,8,3 ≠ 2
REC_03,INCIP,Shallow,2024-07-02,1,20,Feet,Purple,3,5 ≠ 6
REC_04,BAR,Deep,2024-07-22,3,46,Feet,Purple,2,4 ≠ 3
REC_04,BAR,Deep,2024-07-22,3,46,Feet,Purple,4,5 ≠ 4
REC_04,BAR,Deep,2024-07-22,3,46,Feet,Purple,5,3 ≠ 5
REC_04,BAR,Shallow,2024-07-29,3,35,Feet,Purple,3,10 ≠ 5
REC_04,BAR,Shallow,2024-07-29,3,35,Feet,Purple,4,5 ≠ 2
REC_04,BAR,Shallow,2024-07-29,4,35,Feet,Purple,3,5 ≠ 10
REC_04,BAR,Shallow,2024-07-29,4,35,Feet,Purple,4,2 ≠ 5
REC_04,BAR,Shallow,2024-07-29,4,35,Feet,Red,5,5 ≠ 10
REC_04,BAR,Shallow,2024-07-29,4,35,Feet,Red,6,1 ≠ 2
REC_04,FOR,Deep,2024-07-29,1,38,Feet,Purple,4,6 ≠ 7
REC_04,FOR,Shallow,2024-07-30,3,34,Feet,Purple,3,5 ≠ 3
REC_05,BAR,Deep,2024-07-30,4,45,Feet,Red,6,7 ≠ 6
REC_05,BAR,Shallow,2024-07-30,4,36,Feet,Red,6,5 ≠ 6
REC_05,FOR,Deep,2024-07-31,2,52,Feet,Purple,4,5 ≠ 11
REC_05,FOR,Deep,2024-07-31,2,52,Feet,Purple,5,6 ≠ 4
REC_05,FOR,Deep,2024-07-31,3,51,Feet,Purple,3,5 ≠ 3
REC_05,FOR,Deep,2024-07-31,3,51,Feet,Purple,4,6 ≠ 5
REC_05,FOR,Deep,2024-07-31,3,51,Feet,Purple,5,5 ≠ 1
REC_05,FOR,Deep,2024-07-31,4,41,Feet,Purple,5,9 ≠ 4
REC_07,INCIP,Shallow,2024-08-27,2,23,Feet,Purple,5,2 ≠ 1
REC_07,INCIP,Shallow,2024-08-27,2,23,Feet,Purple,6,6 ≠ 1
REC_10,BAR,Shallow,2024-08-13,1,33,Feet,Purple,2,3 ≠ 2
REC_10,FOR,Deep,2024-06-17,3,6.1,Meters,Purple,3,2 ≠ 4
REC_10,FOR,Deep,2024-09-16,4,30,Feet,Red,10,2 ≠ 4
REC_10,FOR,Shallow,2024-06-17,4,5,Meters,Purple,2,2 ≠ 1
REC_10,FOR,Shallow,2024-06-17,4,5,Meters,Purple,3,7 ≠ 6
REC_10,FOR,Shallow,2024-06-17,4,5,Meters,Purple,4,5 ≠ 7
REC_10,FOR,Shallow,2024-06-17,4,5,Meters,Purple,5,3 ≠ 1
REC_10,FOR,Shallow,2024-09-16,1,31,Feet,Purple,3,10 ≠ 11
REC_10,INCIP,Shallow,2024-08-13,2,31,Feet,Red,9,2 ≠ 1
REC_10,INCIP,Shallow,2024-08-13,4,28,Feet,Purple,5,9 ≠ 7
REC_11,BAR,Shallow,2024-06-18,1,27,Feet,Purple,3,4 ≠ 5
REC_11,FOR,Deep,2024-08-06,2,36,Feet,Purple,5,6 ≠ 1
REC_12,BAR,Deep,2024-08-12,3,34,Feet,Purple,4,8 ≠ 7
REC_12,BAR,Deep,2024-08-12,4,35,Feet,Purple,4,7 ≠ 6
REC_14,INCIP,Deep,2024-10-02,1,38,Feet,Red,6,7 ≠ 6
REC_14,INCIP,Shallow,2024-10-02,4,24,Feet,Purple,3,11 ≠ 5
REC_14,INCIP,Shallow,2024-10-02,4,24,Feet,Purple,3,11 ≠ 6
