site,site_type,zone,date,transect,depth,depth_units,species,size,count_diff,diet_diff,resolved
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,4,NA,None ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,4,NA,None ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,4,NA,Other ≠ None,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,4,NA,Other ≠ None,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,4,NA,None ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,4,NA,None ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,4,NA,Other ≠ None,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,4,NA,Other ≠ None,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,5,NA,Barnacle ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,5,NA,None ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,5,NA,Other ≠ Barnacle,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,5,NA,None ≠ Barnacle,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,5,NA,Other ≠ None,
REC_10,INCIP,Shallow,2025-06-25,1,9.7,Meters,Dermasterias,5,NA,Barnacle ≠ None,
REC_10,INCIP,Shallow,2025-06-25,2,9.4,Meters,Dermasterias,5,NA,Other ≠ None,
REC_10,INCIP,Shallow,2025-06-25,2,9.4,Meters,Dermasterias,5,NA,None ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,2,9.4,Meters,Dermasterias,5,NA,None ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,2,9.4,Meters,Dermasterias,5,NA,Other ≠ None,
REC_10,INCIP,Shallow,2025-06-25,3,6.5,Meters,Dermasterias,5,NA,Other ≠ None,
REC_10,INCIP,Shallow,2025-06-25,3,6.5,Meters,Dermasterias,5,NA,Other ≠ None,
REC_10,INCIP,Shallow,2025-06-25,3,6.5,Meters,Dermasterias,5,NA,None ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,3,6.5,Meters,Dermasterias,5,NA,None ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,3,6.5,Meters,Dermasterias,6,NA,None ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,3,6.5,Meters,Dermasterias,6,NA,Other ≠ None,
REC_10,INCIP,Shallow,2025-06-25,4,6.5,Meters,Dermasterias,5,NA,Limpet ≠ Other,
REC_10,INCIP,Shallow,2025-06-25,4,6.5,Meters,Dermasterias,5,NA,Other ≠ Limpet,
