site,date,heading_out,transect,depth_start,depth_end,depth_units,segment,substrate_1_raw_diff,substrate_2_raw_diff,substrate_3_raw_diff,substrate_4_raw_diff,substrate_5_raw_diff,relief_1_raw_diff,relief_2_raw_diff,relief_3_raw_diff,relief_4_raw_diff,relief_5_raw_diff,drift_algae_raw_diff,juvenile_laminariales_raw_diff,upc_1_raw_diff,upc_2_raw_diff,upc_3_raw_diff,upc_4_raw_diff,upc_5_raw_diff
MAR_01,2024-07-08,25,2,15.7,8.2,Meters,25-30M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Crustose coralline,Articulated coralline  ≠  Crustose coralline,Articulated coralline  ≠  Crustose coralline
MAR_03,2024-07-09,50,1,11.8,5,Meters,35-40M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  BRANCH-flat branching,NA,Articulated coralline  ≠  Crustose coralline,BRANCH-flat branching  ≠  Articulated coralline,NA
MAR_03,2024-07-09,50,1,11.8,5,Meters,65-70M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEAF- blade, unbranched  ≠  BRANCH-flat branching","Colonial tunicate  ≠  LEAF- blade, unbranched",Sponge  ≠  Colonial tunicate,BRANCH-flat branching  ≠  Sponge
MAR_03,2024-07-09,50,1,11.8,5,Meters,70-75M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEAF- blade, unbranched  ≠  BRANCH-flat branching",NA,NA,"BRANCH-flat branching  ≠  LEAF- blade, unbranched"
MAR_11,2024-07-16,270,3,8.4,3.8,Meters,40-45M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  ENCRUSTING RED,ENCRUSTING RED  ≠  Crustose coralline
MAR_09,2024-07-17,220,1,17.7,7.5,Meters,25-30M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrocystis holdfast (live)  ≠  Desmarestia spp.
MAR_09,2024-07-17,220,1,17.7,7.5,Meters,65-70M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Desmarestia spp.  ≠  Dictyoneurum spp.,NA,NA,Dictyoneurum spp.  ≠  Desmarestia spp.,NA
MAR_09,2024-07-17,220,1,17.7,7.5,Meters,70-75M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dictyoneurum spp.  ≠  Stephanocystis,Dictyoneurum spp.  ≠  Stephanocystis,NA,Desmarestia spp.  ≠  Dictyoneurum spp.
MAR_09,2024-07-17,220,2,17.1,10.2,Meters,0-5M,Boulder (10 cm -1 m)  ≠  Bedrock (> 1m),Boulder (10 cm -1 m)  ≠  Bedrock (> 1m),NA,Bedrock (> 1m)  ≠  Boulder (10 cm -1 m),Bedrock (> 1m)  ≠  Boulder (10 cm -1 m),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR_09,2024-07-17,220,2,17.1,10.2,Meters,5-10M,Boulder (10 cm -1 m)  ≠  Bedrock (> 1m),Boulder (10 cm -1 m)  ≠  Bedrock (> 1m),NA,Bedrock (> 1m)  ≠  Boulder (10 cm -1 m),Bedrock (> 1m)  ≠  Boulder (10 cm -1 m),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
